               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10703,            0.030975,            0.020279,            0.066376,              0.1236,            0.023812,            0.004915,            0.090778,            0.022466,            0.011186,              0.0005,              0.0005,              0.0955
                   1,            0.084369,            0.032595,           0.0073568,             0.31235,             0.26826,             0.19495,            0.064754,            0.074544,            0.023095,           0.0035904,           0.0010099,           0.0010099,             0.09091
                   2,            0.068848,            0.031331,           0.0026188,             0.41175,             0.39607,             0.34022,             0.12147,            0.061735,            0.020636,           0.0013702,           0.0015192,           0.0015192,            0.086319
