               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.03628,            0.019863,          0.00021456,             0.62788,             0.58287,             0.58538,             0.26476,            0.048494,            0.017417,          0.00027083,           0.0085173,           0.0085173,           0.0085173
                  36,            0.036711,            0.019639,          0.00022097,             0.62432,             0.66521,             0.62451,             0.28311,            0.045764,            0.017209,           0.0003001,            0.008435,            0.008435,            0.008435
                  37,            0.035039,            0.019635,          0.00020942,             0.58983,             0.63483,             0.56572,             0.24076,            0.047917,            0.017431,          0.00024865,           0.0083511,           0.0083511,           0.0083511
                  38,            0.035394,            0.019786,          0.00020575,             0.68728,             0.57723,              0.6126,             0.26168,            0.048077,            0.017388,          0.00026612,           0.0082656,           0.0082656,           0.0082656
                  39,            0.034739,            0.019352,          0.00019141,             0.64089,              0.5618,             0.57683,             0.24377,             0.04773,            0.017452,          0.00024894,           0.0081786,           0.0081786,           0.0081786
                  40,            0.034373,            0.019569,          0.00019436,             0.69476,             0.56742,             0.60321,             0.27362,            0.048849,            0.017237,          0.00025321,             0.00809,             0.00809,             0.00809
                  41,            0.033942,            0.019074,          0.00018357,              0.6397,             0.60345,             0.59647,             0.26409,            0.048011,            0.016984,          0.00026468,               0.008,               0.008,               0.008
                  42,              0.0338,            0.019378,          0.00017438,             0.63662,              0.6236,             0.60968,             0.27226,            0.047581,            0.017765,          0.00027924,           0.0079086,           0.0079086,           0.0079086
                  43,            0.033624,            0.019293,          0.00017879,             0.64694,              0.5309,             0.57613,             0.25183,             0.04744,            0.017693,          0.00023133,            0.007816,            0.007816,            0.007816
                  44,            0.033469,            0.018795,          0.00017221,             0.70155,             0.61096,             0.62354,             0.28652,            0.048399,            0.017671,          0.00024964,            0.007722,            0.007722,            0.007722
                  45,            0.033446,            0.018795,          0.00016915,             0.69536,             0.61657,             0.63125,             0.26387,            0.047143,            0.018515,           0.0002926,           0.0076269,           0.0076269,           0.0076269
                  46,            0.032313,            0.018603,          0.00016133,             0.65713,             0.61373,             0.62348,             0.27884,            0.046458,            0.017124,          0.00023301,           0.0075307,           0.0075307,           0.0075307
                  47,            0.032294,            0.017764,          0.00015978,             0.68667,             0.59691,             0.63445,              0.2877,            0.045877,             0.01728,          0.00023719,           0.0074335,           0.0074335,           0.0074335
                  48,            0.032457,            0.018504,          0.00016368,             0.71204,             0.57302,             0.61739,             0.27219,            0.046336,            0.018052,          0.00024878,           0.0073352,           0.0073352,           0.0073352
                  49,            0.031827,              0.0182,           0.0001552,              0.6915,             0.55478,             0.61476,              0.2744,            0.048751,             0.01795,          0.00024631,           0.0072361,           0.0072361,           0.0072361
                  50,            0.031966,            0.017785,          0.00015719,             0.68057,              0.5925,             0.61261,             0.27354,            0.047544,             0.01758,          0.00023798,           0.0071361,           0.0071361,           0.0071361
                  51,            0.031114,            0.017836,          0.00015715,             0.71002,             0.61236,              0.6484,             0.29294,            0.047041,            0.017896,          0.00027057,           0.0070353,           0.0070353,           0.0070353
                  52,             0.03079,            0.017684,           0.0001552,             0.69671,             0.58287,             0.61401,             0.27279,            0.047286,            0.017816,          0.00022839,           0.0069338,           0.0069338,           0.0069338
                  53,            0.030875,            0.017647,          0.00015522,             0.65946,             0.61938,             0.62235,             0.27037,            0.047574,            0.017813,          0.00024784,           0.0068316,           0.0068316,           0.0068316
                  54,            0.030943,            0.017464,          0.00015027,             0.75514,             0.60253,             0.63925,             0.29591,            0.048072,            0.018815,          0.00031095,           0.0067289,           0.0067289,           0.0067289
                  55,            0.030466,            0.017047,          0.00015311,             0.70973,             0.59129,             0.63442,              0.2888,             0.04714,            0.017897,          0.00027108,           0.0066257,           0.0066257,           0.0066257
                  56,            0.029981,            0.017021,          0.00014176,             0.72728,             0.59972,             0.62681,             0.27708,            0.047564,            0.018785,          0.00029161,           0.0065221,           0.0065221,           0.0065221
                  57,            0.029569,            0.016995,           0.0001368,             0.69264,             0.62781,             0.64421,             0.28307,            0.047301,            0.018241,          0.00025387,           0.0064181,           0.0064181,           0.0064181
                  58,            0.029999,            0.016696,          0.00013928,             0.69672,             0.62917,             0.64745,             0.29943,            0.046854,            0.017806,          0.00025484,           0.0063138,           0.0063138,           0.0063138
                  59,            0.029101,            0.016629,          0.00014395,             0.66228,              0.6555,             0.64956,             0.29675,            0.047013,            0.018719,           0.0002586,           0.0062093,           0.0062093,           0.0062093
                  60,            0.029254,            0.016767,          0.00013753,             0.71358,             0.61936,              0.6216,             0.28884,            0.048527,            0.018178,          0.00023965,           0.0061047,           0.0061047,           0.0061047
                  61,            0.028661,            0.016535,          0.00013341,             0.73285,             0.62031,             0.66055,               0.298,            0.046981,            0.018672,          0.00029072,               0.006,               0.006,               0.006
                  62,            0.029017,            0.017013,           0.0001355,             0.69758,             0.61878,             0.64466,             0.30587,            0.048608,            0.018903,          0.00028205,           0.0058953,           0.0058953,           0.0058953
                  63,            0.028128,            0.016483,          0.00012229,             0.70825,             0.59129,             0.61707,             0.29009,              0.0476,            0.018121,          0.00022097,           0.0057907,           0.0057907,           0.0057907
                  64,            0.027745,            0.016348,          0.00011645,             0.72503,             0.58143,              0.6241,             0.29202,             0.04929,            0.018376,           0.0002289,           0.0056862,           0.0056862,           0.0056862
                  65,             0.02817,            0.016036,          0.00011703,             0.69229,              0.6264,             0.61942,             0.29164,            0.048299,             0.01842,          0.00025464,           0.0055819,           0.0055819,           0.0055819
                  66,            0.027599,            0.016099,          0.00012081,             0.73337,             0.62194,             0.63919,             0.29101,             0.04711,            0.019005,           0.0002606,           0.0054779,           0.0054779,           0.0054779
                  67,            0.027173,            0.015751,          0.00011497,             0.72246,             0.61798,             0.64162,              0.2957,            0.047913,            0.019786,           0.0002748,           0.0053743,           0.0053743,           0.0053743
                  68,            0.026524,             0.01552,          0.00011342,             0.71241,             0.62625,             0.63707,              0.2986,            0.046706,             0.01903,          0.00023378,           0.0052711,           0.0052711,           0.0052711
                  69,            0.026361,             0.01541,          0.00010853,             0.74383,             0.58427,             0.62607,             0.29513,            0.047102,            0.019668,          0.00029973,           0.0051684,           0.0051684,           0.0051684
                  70,             0.02687,            0.015516,          0.00011335,             0.71487,               0.625,             0.62441,             0.28041,            0.047607,            0.019355,          0.00030995,           0.0050662,           0.0050662,           0.0050662
                  71,             0.02699,            0.015406,          0.00011389,             0.69666,             0.64185,             0.63559,             0.29397,            0.048108,            0.018577,          0.00022323,           0.0049647,           0.0049647,           0.0049647
                  72,            0.026296,            0.015554,          0.00010362,             0.74114,              0.6236,             0.65146,             0.29623,            0.048416,            0.018668,          0.00026117,           0.0048639,           0.0048639,           0.0048639
                  73,            0.026392,            0.015281,          0.00010502,             0.71524,             0.63904,             0.64002,             0.29635,             0.04793,             0.01894,          0.00025175,           0.0047639,           0.0047639,           0.0047639
                  74,            0.025884,            0.015245,          0.00010229,             0.73478,             0.59532,             0.63218,             0.29943,            0.047494,            0.019701,          0.00029272,           0.0046648,           0.0046648,           0.0046648
                  75,            0.025159,            0.015417,          0.00010173,              0.7087,             0.63899,             0.64759,             0.29792,            0.047758,             0.01908,          0.00026762,           0.0045665,           0.0045665,           0.0045665
                  76,            0.025193,            0.015212,          9.3368e-05,             0.72577,             0.62921,             0.64742,             0.30137,            0.048439,            0.019809,          0.00038098,           0.0044693,           0.0044693,           0.0044693
                  77,            0.025455,            0.014972,          9.4151e-05,             0.75607,             0.60112,             0.64053,             0.29942,            0.048416,            0.019779,          0.00035373,           0.0043731,           0.0043731,           0.0043731
                  78,             0.02549,            0.015069,          9.7646e-05,             0.72133,             0.63622,              0.6529,             0.30767,            0.047373,            0.019426,          0.00027806,            0.004278,            0.004278,            0.004278
                  79,             0.02518,            0.014923,          9.6735e-05,             0.73953,             0.62207,             0.63715,             0.30438,            0.047672,            0.019565,          0.00030979,            0.004184,            0.004184,            0.004184
                  80,            0.024631,            0.014244,          8.8876e-05,             0.73704,             0.65028,              0.6478,             0.29792,            0.048987,            0.019612,          0.00035101,           0.0040914,           0.0040914,           0.0040914
                  81,             0.02487,            0.015185,          8.8251e-05,             0.72167,             0.63062,             0.63286,             0.30619,            0.047577,            0.019318,          0.00025845,               0.004,               0.004,               0.004
                  82,            0.024437,            0.014785,          8.4998e-05,             0.74914,             0.61656,             0.63818,             0.30327,            0.048427,            0.019464,          0.00027855,             0.00391,             0.00391,             0.00391
                  83,            0.024347,            0.014492,          8.2757e-05,             0.74856,             0.61938,             0.64932,             0.30473,            0.047169,            0.019365,          0.00025199,           0.0038214,           0.0038214,           0.0038214
                  84,            0.023971,               0.015,           8.378e-05,              0.7733,             0.63764,             0.64897,             0.31646,            0.047891,            0.019477,          0.00034041,           0.0037344,           0.0037344,           0.0037344
                  85,            0.024031,            0.014871,          8.1109e-05,             0.74475,             0.60241,             0.63985,             0.30335,             0.04728,            0.020216,          0.00026482,           0.0036489,           0.0036489,           0.0036489
                  86,            0.023563,            0.013911,          7.9963e-05,             0.74236,             0.61517,             0.64648,             0.30091,            0.047703,            0.020118,           0.0003137,            0.003565,            0.003565,            0.003565
                  87,            0.023242,             0.01421,           7.857e-05,             0.74954,             0.63049,             0.65033,             0.30584,            0.047672,            0.019532,          0.00029641,           0.0034827,           0.0034827,           0.0034827
                  88,            0.023113,            0.014159,          7.7073e-05,             0.76233,             0.65028,             0.67348,             0.31174,            0.047537,            0.019978,          0.00028145,           0.0034022,           0.0034022,           0.0034022
                  89,            0.023037,            0.013932,          7.3503e-05,             0.75496,             0.62744,             0.65697,             0.30579,             0.04852,            0.019517,          0.00027473,           0.0033235,           0.0033235,           0.0033235
                  90,            0.023097,            0.013943,          7.2997e-05,             0.73644,             0.63185,             0.64957,             0.30518,            0.047682,            0.020079,          0.00027717,           0.0032466,           0.0032466,           0.0032466
                  91,            0.022727,            0.014036,          7.1759e-05,             0.73625,             0.62921,             0.64821,             0.30262,            0.047382,            0.020023,          0.00023875,           0.0031716,           0.0031716,           0.0031716
                  92,            0.022979,            0.013962,          7.2839e-05,             0.72494,             0.65149,             0.64752,             0.29883,            0.047825,            0.019801,          0.00025012,           0.0030985,           0.0030985,           0.0030985
                  93,            0.022513,            0.013703,          7.2105e-05,             0.75567,             0.63483,             0.66275,             0.31988,            0.047648,            0.019992,          0.00027756,           0.0030274,           0.0030274,           0.0030274
                  94,             0.02235,            0.013733,          7.1709e-05,             0.75832,              0.6346,             0.66467,             0.31621,            0.047537,            0.019413,           0.0002308,           0.0029584,           0.0029584,           0.0029584
                  95,            0.022525,            0.013881,          6.8544e-05,             0.74912,             0.61648,             0.65005,             0.31118,            0.047336,            0.019661,          0.00023151,           0.0028914,           0.0028914,           0.0028914
                  96,            0.022039,            0.013761,          6.6089e-05,             0.77557,              0.5927,              0.6333,             0.30055,             0.04816,            0.020752,          0.00029312,           0.0028266,           0.0028266,           0.0028266
