               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.022857,           0.0062477,                   0,             0.99999,             0.82993,             0.85895,             0.45776,            0.028852,           0.0021064,                   0,            0.007009,            0.007009,            0.021309
                  39,            0.022701,           0.0060443,                   0,             0.99993,             0.82993,             0.85549,             0.50592,            0.030385,           0.0017055,                   0,           0.0071111,           0.0071111,            0.019211
                  40,            0.022523,             0.00654,                   0,             0.99179,             0.82993,             0.85965,             0.30794,            0.030063,           0.0020727,                   0,            0.007208,            0.007208,            0.017108
                  41,            0.023177,           0.0065614,                   0,             0.99992,             0.82993,             0.87056,             0.46041,            0.023986,           0.0018512,                   0,           0.0072997,           0.0072997,               0.015
                  42,            0.020681,           0.0059056,                   0,             0.99206,             0.85033,             0.87819,             0.53951,            0.026576,           0.0020241,                   0,           0.0073861,           0.0073861,            0.012886
                  43,             0.02077,           0.0059796,                   0,                   1,             0.84351,             0.87693,             0.42223,            0.026712,           0.0019229,                   0,           0.0074672,           0.0074672,            0.010767
                  44,            0.021332,           0.0060383,                   0,             0.99195,             0.84354,             0.85382,             0.43113,            0.029574,           0.0022193,                   0,           0.0075431,           0.0075431,           0.0086431
                  45,            0.020494,           0.0056338,                   0,               0.992,             0.84353,              0.8547,             0.47179,             0.02897,           0.0020846,                   0,           0.0075307,           0.0075307,           0.0075307
                  46,            0.019259,           0.0058677,                   0,             0.99213,             0.85713,             0.88658,             0.54715,            0.023101,            0.001956,                   0,           0.0075307,           0.0075307,           0.0075307
                  47,            0.019937,           0.0057298,                   0,               0.992,             0.84354,             0.87883,             0.34013,            0.030804,           0.0023464,                   0,           0.0074335,           0.0074335,           0.0074335
                  48,            0.018931,           0.0053542,                   0,                   1,              0.8367,             0.85721,             0.35199,            0.028894,           0.0021512,                   0,           0.0073352,           0.0073352,           0.0073352
                  49,            0.018957,           0.0056402,                   0,             0.97695,             0.87755,             0.88925,             0.58233,            0.023916,           0.0018728,                   0,           0.0072361,           0.0072361,           0.0072361
                  50,            0.020306,           0.0058128,                   0,             0.98413,             0.84351,             0.85802,             0.64401,            0.025446,           0.0018232,                   0,           0.0071361,           0.0071361,           0.0071361
                  51,            0.017614,            0.005163,                   0,             0.99999,             0.82993,             0.84416,             0.44701,             0.02707,           0.0021677,                   0,           0.0070353,           0.0070353,           0.0070353
                  52,            0.017263,           0.0056255,                   0,             0.98385,             0.82993,             0.83258,              0.5505,            0.028148,           0.0023221,                   0,           0.0069338,           0.0069338,           0.0069338
                  53,            0.016723,           0.0050142,                   0,             0.99206,             0.85033,             0.87175,             0.58949,             0.02717,           0.0019733,                   0,           0.0068316,           0.0068316,           0.0068316
                  54,            0.016414,           0.0052548,                   0,                   1,             0.82993,             0.83492,             0.35523,            0.028416,           0.0024238,                   0,           0.0067289,           0.0067289,           0.0067289
                  55,            0.016547,           0.0053575,                   0,             0.99999,             0.82313,             0.82564,             0.43597,            0.028683,           0.0021546,                   0,           0.0066257,           0.0066257,           0.0066257
                  56,            0.016655,            0.005277,                   0,             0.99998,             0.82993,             0.85345,             0.49734,            0.026122,           0.0019844,                   0,           0.0065221,           0.0065221,           0.0065221
                  57,            0.016966,           0.0054196,                   0,                   1,             0.83673,             0.86458,              0.5497,            0.026728,           0.0017576,                   0,           0.0064181,           0.0064181,           0.0064181
                  58,            0.015785,           0.0049992,                   0,                   1,             0.83672,             0.86402,             0.48539,            0.026809,           0.0018465,                   0,           0.0063138,           0.0063138,           0.0063138
                  59,            0.016116,           0.0051096,                   0,             0.98413,             0.84351,             0.87308,             0.60923,            0.022969,           0.0018444,                   0,           0.0062093,           0.0062093,           0.0062093
                  60,            0.015041,           0.0049312,                   0,                   1,             0.82985,             0.85695,             0.59478,            0.022378,           0.0019584,                   0,           0.0061047,           0.0061047,           0.0061047
                  61,            0.014662,           0.0050364,                   0,             0.97636,             0.84354,             0.86102,             0.53418,            0.026703,           0.0019903,                   0,               0.006,               0.006,               0.006
                  62,              0.0158,           0.0053197,                   0,             0.97692,             0.86382,             0.88039,             0.48199,             0.02747,           0.0019144,                   0,           0.0058953,           0.0058953,           0.0058953
                  63,            0.014552,           0.0046509,                   0,                   1,             0.83673,             0.84675,             0.44423,            0.025805,           0.0020859,                   0,           0.0057907,           0.0057907,           0.0057907
                  64,            0.016234,           0.0048032,                   0,                   1,             0.83672,             0.84282,              0.4532,            0.029478,           0.0019505,                   0,           0.0056862,           0.0056862,           0.0056862
                  65,            0.013976,           0.0047951,                   0,                   1,             0.83673,             0.84189,             0.49352,            0.026734,           0.0019846,                   0,           0.0055819,           0.0055819,           0.0055819
                  66,            0.014484,           0.0047974,                   0,             0.99999,             0.83673,             0.86469,             0.49443,            0.025102,           0.0020104,                   0,           0.0054779,           0.0054779,           0.0054779
                  67,            0.014223,           0.0046008,                   0,             0.99999,             0.82993,             0.85536,             0.48559,            0.025568,           0.0020291,                   0,           0.0053743,           0.0053743,           0.0053743
                  68,             0.01423,           0.0047338,                   0,             0.96947,             0.86394,             0.88342,             0.54326,            0.023387,           0.0019365,                   0,           0.0052711,           0.0052711,           0.0052711
                  69,            0.013749,           0.0044981,                   0,             0.98414,             0.85034,             0.86221,             0.47978,            0.022963,           0.0021329,                   0,           0.0051684,           0.0051684,           0.0051684
                  70,            0.013712,           0.0045746,                   0,                   1,             0.83672,             0.86847,             0.53218,            0.023477,           0.0021113,                   0,           0.0050662,           0.0050662,           0.0050662
                  71,            0.013649,           0.0045251,                   0,                   1,             0.82993,             0.85645,             0.50686,            0.023711,           0.0019943,                   0,           0.0049647,           0.0049647,           0.0049647
                  72,            0.012886,           0.0046025,                   0,             0.99998,             0.83673,             0.85432,             0.48934,            0.020405,           0.0021949,                   0,           0.0048639,           0.0048639,           0.0048639
                  73,            0.012655,           0.0043618,                   0,                   1,             0.83671,              0.8463,             0.48871,            0.022955,           0.0020396,                   0,           0.0047639,           0.0047639,           0.0047639
                  74,            0.013266,           0.0044531,                   0,                   1,             0.82993,             0.84342,             0.47505,            0.025716,           0.0022128,                   0,           0.0046648,           0.0046648,           0.0046648
                  75,            0.013766,           0.0045878,                   0,              0.9767,             0.86395,             0.87395,             0.50726,            0.023984,           0.0020254,                   0,           0.0045665,           0.0045665,           0.0045665
                  76,            0.011824,           0.0044647,                   0,             0.99996,             0.84354,             0.86183,             0.46071,            0.025599,           0.0020359,                   0,           0.0044693,           0.0044693,           0.0044693
                  77,            0.012523,            0.004171,                   0,             0.98425,             0.85034,             0.86908,             0.55119,            0.025495,           0.0021771,                   0,           0.0043731,           0.0043731,           0.0043731
                  78,            0.011612,           0.0038969,                   0,                   1,             0.83673,             0.87584,             0.53794,             0.02458,           0.0019579,                   0,            0.004278,            0.004278,            0.004278
                  79,            0.012599,           0.0041105,                   0,             0.99999,             0.83673,              0.8683,             0.55088,             0.02522,           0.0019537,                   0,            0.004184,            0.004184,            0.004184
                  80,            0.011899,            0.004343,                   0,             0.96992,             0.87752,             0.87706,             0.50962,            0.024141,           0.0019992,                   0,           0.0040914,           0.0040914,           0.0040914
                  81,              0.0115,           0.0042021,                   0,                   1,             0.83673,             0.87489,             0.54134,             0.02615,           0.0019154,                   0,               0.004,               0.004,               0.004
                  82,            0.011644,           0.0038614,                   0,             0.99997,             0.82993,             0.87326,             0.55254,            0.024697,           0.0018772,                   0,             0.00391,             0.00391,             0.00391
                  83,            0.012215,           0.0043436,                   0,             0.99185,             0.83673,             0.87556,              0.5163,            0.025239,           0.0022742,                   0,           0.0038214,           0.0038214,           0.0038214
                  84,            0.011206,           0.0040553,                   0,                   1,             0.83673,             0.87641,              0.5092,            0.023528,           0.0023848,                   0,           0.0037344,           0.0037344,           0.0037344
                  85,            0.011582,           0.0041315,                   0,             0.99194,             0.83669,             0.86419,              0.5184,            0.023673,           0.0020061,                   0,           0.0036489,           0.0036489,           0.0036489
                  86,            0.011313,           0.0039688,                   0,                   1,             0.83672,             0.87726,             0.56391,            0.021261,           0.0020306,                   0,            0.003565,            0.003565,            0.003565
                  87,            0.011008,           0.0037827,                   0,             0.99991,             0.82993,             0.85319,             0.54358,            0.026393,           0.0022042,                   0,           0.0034827,           0.0034827,           0.0034827
                  88,             0.01132,           0.0042674,                   0,                   1,             0.83673,             0.86942,             0.48999,             0.02449,           0.0019928,                   0,           0.0034022,           0.0034022,           0.0034022
